<TICKER>,<DATE>,<CLOSE>
TATN,10/09/09,130.8
TATN,11/09/09,129.1
TATN,12/09/09,129.56
TATN,15/09/09,127.61
TATN,16/09/09,130.0
TATN,17/09/09,129.8
TATN,18/09/09,128.5
TATN,19/09/09,127.07
TATN,22/09/09,120.98
TATN,23/09/09,125.04
TATN,24/09/09,126.29
TATN,25/09/09,120.55
TATN,26/09/09,120.5
TATN,29/09/09,124.01
TATN,30/09/09,128.76
TATN,01/10/09,126.18
TATN,02/10/09,128.6
TATN,03/10/09,123.85
TATN,06/10/09,124.9
TATN,07/10/09,127.73
TATN,08/10/09,127.31
TATN,09/10/09,133.65
TATN,10/10/09,135.39
TATN,13/10/09,141.21
TATN,14/10/09,137.75
TATN,15/10/09,139.9
TATN,16/10/09,142.5
TATN,17/10/09,138.61
TATN,20/10/09,142.0
TATN,21/10/09,142.09
TATN,22/10/09,143.49
TATN,23/10/09,141.01
TATN,24/10/09,140.65
TATN,27/10/09,141.6
TATN,28/10/09,135.69
TATN,29/10/09,127.5
TATN,30/10/09,129.53
TATN,31/10/09,125.73
TATN,03/11/09,130.8
TATN,04/11/09,124.2
TATN,06/11/09,133.95
TATN,07/11/09,129.85
TATN,10/11/09,135.7
TATN,11/11/09,141.11
TATN,12/11/09,137.47
TATN,13/11/09,140.2
TATN,14/11/09,142.35
TATN,17/11/09,146.05
TATN,18/11/09,142.6
TATN,19/11/09,145.4
TATN,20/11/09,141.73
TATN,21/11/09,144.61
TATN,24/11/09,145.85
TATN,25/11/09,142.5
TATN,26/11/09,140.01
TATN,27/11/09,136.0
TATN,28/11/09,138.74
TATN,01/12/09,138.25
TATN,02/12/09,144.98
TATN,03/12/09,143.5
TATN,04/12/09,140.26
TATN,05/12/09,144.22
TATN,08/12/09,140.67
TATN,09/12/09,140.0
TATN,10/12/09,137.02
TATN,11/12/09,135.39
TATN,12/12/09,136.0
TATN,15/12/09,139.85
TATN,16/12/09,142.5
TATN,17/12/09,148.37
TATN,18/12/09,145.1
TATN,19/12/09,141.68
TATN,22/12/09,142.38
TATN,23/12/09,138.7
TATN,24/12/09,139.0
TATN,25/12/09,138.25
TATN,26/12/09,138.7
TATN,29/12/09,141.0
TATN,30/12/09,140.37
TATN,31/12/09,139.0
TATN,01/01/10,139.86
TATN,12/01/10,144.2
TATN,13/01/10,142.76
TATN,14/01/10,144.5
TATN,15/01/10,144.08
TATN,16/01/10,145.25
TATN,19/01/10,145.99
TATN,20/01/10,145.0
TATN,21/01/10,144.22
TATN,22/01/10,141.0
TATN,23/01/10,138.99
TATN,26/01/10,141.11
TATN,27/01/10,138.5
TATN,28/01/10,139.5
TATN,29/01/10,142.01
TATN,30/01/10,144.0
TATN,02/02/10,141.86
TATN,03/02/10,142.35
TATN,04/02/10,141.56
TATN,05/02/10,141.28
TATN,06/02/10,137.5
TATN,09/02/10,135.31
TATN,10/02/10,139.51
TATN,11/02/10,139.83
TATN,12/02/10,140.9
TATN,13/02/10,139.89
TATN,16/02/10,139.7
TATN,17/02/10,140.86
TATN,18/02/10,140.95
TATN,19/02/10,140.0
TATN,20/02/10,141.0
TATN,25/02/10,141.79
TATN,26/02/10,136.9
TATN,27/02/10,139.05
TATN,28/02/10,140.98
TATN,02/03/10,142.08
TATN,03/03/10,141.78
TATN,04/03/10,141.64
TATN,05/03/10,143.75
TATN,06/03/10,147.51
TATN,10/03/10,147.0
TATN,11/03/10,146.69
TATN,12/03/10,143.95
TATN,13/03/10,146.51
TATN,16/03/10,144.25
TATN,17/03/10,145.69
TATN,18/03/10,147.2
TATN,19/03/10,145.14
TATN,20/03/10,143.21
TATN,23/03/10,143.21
TATN,24/03/10,142.08
TATN,25/03/10,141.11
TATN,26/03/10,143.75
TATN,27/03/10,143.98
TATN,30/03/10,145.74
TATN,31/03/10,145.82
TATN,01/04/10,145.91
TATN,02/04/10,147.6
TATN,03/04/10,145.82
TATN,06/04/10,146.5
TATN,07/04/10,147.99
TATN,08/04/10,146.86
TATN,09/04/10,146.2
TATN,10/04/10,146.19
TATN,13/04/10,145.8
TATN,14/04/10,144.63
TATN,15/04/10,147.0
TATN,16/04/10,147.15
TATN,17/04/10,145.56
TATN,20/04/10,142.72
TATN,21/04/10,144.45
TATN,22/04/10,146.79
TATN,23/04/10,145.68
TATN,24/04/10,146.24
TATN,27/04/10,146.52
TATN,28/04/10,146.34
TATN,29/04/10,144.39
TATN,30/04/10,143.9
TATN,01/05/10,145.0
TATN,05/05/10,142.84
TATN,06/05/10,138.8
TATN,07/05/10,143.05
TATN,08/05/10,137.53
TATN,12/05/10,130.93
TATN,13/05/10,134.5
TATN,14/05/10,132.55
TATN,15/05/10,129.0
TATN,18/05/10,131.5
TATN,19/05/10,132.1
TATN,20/05/10,130.09
TATN,21/05/10,122.0
TATN,22/05/10,124.56
TATN,25/05/10,126.44
TATN,26/05/10,121.15
TATN,27/05/10,124.0
TATN,28/05/10,131.15
TATN,29/05/10,133.5
TATN,01/06/10,140.2
TATN,02/06/10,136.44
TATN,03/06/10,135.7
TATN,04/06/10,136.36
TATN,05/06/10,134.1
TATN,08/06/10,132.37
TATN,09/06/10,129.0
TATN,10/06/10,134.46
TATN,11/06/10,140.2
TATN,12/06/10,139.99
TATN,16/06/10,143.0
TATN,17/06/10,141.01
TATN,18/06/10,143.8
TATN,19/06/10,145.0
TATN,22/06/10,146.41
TATN,23/06/10,145.2
TATN,24/06/10,144.67
TATN,25/06/10,143.5
TATN,26/06/10,142.4
TATN,29/06/10,143.7
TATN,30/06/10,139.4
TATN,01/07/10,140.0
TATN,02/07/10,136.19
TATN,03/07/10,141.37
TATN,06/07/10,141.3
TATN,07/07/10,144.57
TATN,08/07/10,145.1
TATN,09/07/10,144.7
TATN,10/07/10,143.93
TATN,13/07/10,144.45
TATN,14/07/10,144.81
TATN,15/07/10,145.6
TATN,16/07/10,144.3
TATN,17/07/10,145.0
TATN,20/07/10,145.5
TATN,21/07/10,144.54
TATN,22/07/10,145.58
TATN,23/07/10,147.08
TATN,24/07/10,146.0
TATN,27/07/10,145.95
TATN,28/07/10,146.7
TATN,29/07/10,144.54
TATN,30/07/10,147.01
TATN,31/07/10,146.94
TATN,03/08/10,147.0
TATN,04/08/10,146.85
TATN,05/08/10,147.06
TATN,06/08/10,146.94
TATN,07/08/10,145.01
TATN,10/08/10,146.28
TATN,11/08/10,144.66
TATN,12/08/10,143.68
TATN,13/08/10,143.4
TATN,14/08/10,143.45
TATN,17/08/10,144.32
TATN,18/08/10,145.8
TATN,19/08/10,146.15
TATN,20/08/10,144.49
TATN,21/08/10,143.53
TATN,24/08/10,142.54
TATN,25/08/10,137.47
TATN,26/08/10,137.8
TATN,27/08/10,138.36
TATN,28/08/10,140.19
TATN,31/08/10,141.99
TATN,01/09/10,142.0
TATN,02/09/10,144.5
TATN,03/09/10,144.6
TATN,04/09/10,145.35
TATN,07/09/10,145.67
TATN,08/09/10,143.62
TATN,09/09/10,144.62
TATN,10/09/10,144.81
TATN,11/09/10,144.8
TATN,14/09/10,146.39
TATN,15/09/10,145.84
TATN,16/09/10,147.0
TATN,17/09/10,146.05
TATN,18/09/10,145.75
TATN,21/09/10,145.63
TATN,22/09/10,146.03
TATN,23/09/10,143.83
TATN,24/09/10,143.5
TATN,25/09/10,145.97
TATN,28/09/10,145.01
TATN,29/09/10,144.84
TATN,30/09/10,145.6
TATN,01/10/10,146.56
TATN,02/10/10,149.39
TATN,05/10/10,152.06
TATN,06/10/10,151.0
TATN,07/10/10,150.72
TATN,08/10/10,150.5
TATN,09/10/10,150.0
TATN,12/10/10,150.89
TATN,13/10/10,150.2
TATN,14/10/10,151.45
TATN,15/10/10,150.75
TATN,16/10/10,150.3
TATN,19/10/10,149.78
TATN,20/10/10,149.59
TATN,21/10/10,148.05
TATN,22/10/10,148.0
TATN,23/10/10,149.5
TATN,26/10/10,150.0
TATN,27/10/10,148.6
TATN,28/10/10,146.0
TATN,29/10/10,145.89
TATN,30/10/10,148.1
TATN,02/11/10,148.41
TATN,03/11/10,148.48
TATN,04/11/10,148.43
TATN,09/11/10,151.88
TATN,10/11/10,152.9
TATN,11/11/10,152.01
TATN,12/11/10,149.4
TATN,13/11/10,149.8
TATN,14/11/10,147.34
TATN,16/11/10,149.43
TATN,17/11/10,148.0
TATN,18/11/10,148.93
TATN,19/11/10,151.58
TATN,20/11/10,150.5
TATN,23/11/10,150.87
TATN,24/11/10,150.5
TATN,25/11/10,149.5
TATN,26/11/10,149.19
TATN,27/11/10,149.8
TATN,30/11/10,148.62
TATN,01/12/10,148.47
TATN,02/12/10,148.68
TATN,03/12/10,150.0
TATN,04/12/10,150.0
TATN,07/12/10,154.0
TATN,08/12/10,153.1
TATN,09/12/10,149.66
TATN,10/12/10,148.92
TATN,11/12/10,148.43
TATN,14/12/10,147.59
TATN,15/12/10,147.8
TATN,16/12/10,148.85
TATN,17/12/10,147.72
TATN,18/12/10,150.0
TATN,21/12/10,149.74
TATN,22/12/10,149.28
TATN,23/12/10,149.0
TATN,24/12/10,149.7
TATN,25/12/10,148.22
TATN,28/12/10,147.05
TATN,29/12/10,146.86
TATN,30/12/10,148.2
TATN,31/12/10,148.7
TATN,12/01/11,155.89
TATN,13/01/11,157.6
TATN,14/01/11,155.8
TATN,15/01/11,157.0
TATN,18/01/11,160.84
TATN,19/01/11,159.8
TATN,20/01/11,162.0
TATN,21/01/11,161.21
TATN,22/01/11,165.7
TATN,25/01/11,165.1
TATN,26/01/11,161.06
TATN,27/01/11,161.0
TATN,28/01/11,163.39
TATN,29/01/11,163.4
TATN,01/02/11,161.89
TATN,02/02/11,165.95
TATN,03/02/11,170.0
TATN,04/02/11,168.59
TATN,05/02/11,173.56
TATN,08/02/11,175.4
TATN,09/02/11,168.48
TATN,10/02/11,167.46
TATN,11/02/11,160.2
TATN,12/02/11,163.43
TATN,15/02/11,167.92
TATN,16/02/11,163.42
TATN,17/02/11,165.41
TATN,18/02/11,165.73
TATN,19/02/11,166.45
TATN,22/02/11,168.75
TATN,23/02/11,173.0
TATN,25/02/11,173.51
TATN,26/02/11,172.25
TATN,01/03/11,173.99
TATN,02/03/11,172.52
TATN,03/03/11,174.4
TATN,04/03/11,175.6
TATN,05/03/11,176.24
TATN,06/03/11,177.87
TATN,10/03/11,183.9
TATN,11/03/11,180.66
TATN,12/03/11,178.28
TATN,15/03/11,181.64
TATN,16/03/11,179.24
TATN,17/03/11,177.54
TATN,18/03/11,177.6
TATN,19/03/11,173.72
TATN,22/03/11,173.23
TATN,23/03/11,172.8
TATN,24/03/11,182.0
TATN,25/03/11,182.7
TATN,26/03/11,182.77
TATN,29/03/11,182.21
TATN,30/03/11,179.96
TATN,31/03/11,183.0
TATN,01/04/11,183.07
TATN,02/04/11,187.37
TATN,05/04/11,191.2
TATN,06/04/11,191.88
TATN,07/04/11,194.86
TATN,08/04/11,194.99
TATN,09/04/11,194.53
TATN,12/04/11,192.7
TATN,13/04/11,187.16
TATN,14/04/11,185.39
TATN,15/04/11,180.68
TATN,16/04/11,178.9
TATN,19/04/11,172.95
TATN,20/04/11,183.55
TATN,21/04/11,187.55
TATN,22/04/11,184.49
TATN,23/04/11,188.6
TATN,26/04/11,184.46
TATN,27/04/11,183.86
TATN,28/04/11,179.76
TATN,29/04/11,180.16
TATN,30/04/11,178.95
TATN,04/05/11,172.7
TATN,05/05/11,171.21
TATN,06/05/11,168.92
TATN,07/05/11,174.22
TATN,11/05/11,166.2
TATN,12/05/11,165.66
TATN,13/05/11,158.9
TATN,14/05/11,158.0
TATN,17/05/11,156.69
TATN,18/05/11,154.5
TATN,19/05/11,157.14
TATN,20/05/11,157.07
TATN,21/05/11,154.79
TATN,24/05/11,152.54
TATN,25/05/11,155.99
TATN,26/05/11,158.7
TATN,27/05/11,160.8
TATN,28/05/11,159.88
TATN,31/05/11,158.99
TATN,01/06/11,161.94
TATN,02/06/11,160.13
TATN,03/06/11,159.73
TATN,04/06/11,159.9
TATN,07/06/11,156.48
TATN,08/06/11,160.1
TATN,09/06/11,160.76
TATN,10/06/11,164.99
TATN,11/06/11,167.5
TATN,15/06/11,168.53
TATN,16/06/11,170.84
TATN,17/06/11,173.0
TATN,18/06/11,165.12
TATN,21/06/11,165.03
TATN,22/06/11,170.04
TATN,23/06/11,168.39
TATN,24/06/11,165.25
TATN,25/06/11,171.79
TATN,28/06/11,169.06
TATN,29/06/11,175.0
TATN,30/06/11,177.25
TATN,01/07/11,179.39
TATN,02/07/11,185.0
TATN,05/07/11,186.39
TATN,06/07/11,189.6
TATN,07/07/11,185.04
TATN,08/07/11,188.15
TATN,09/07/11,192.0
TATN,12/07/11,189.0
TATN,13/07/11,186.9
TATN,14/07/11,191.89
TATN,15/07/11,189.15
TATN,16/07/11,188.07
TATN,19/07/11,185.88
TATN,20/07/11,185.2
TATN,21/07/11,189.21
TATN,22/07/11,191.0
TATN,23/07/11,192.54
TATN,26/07/11,194.38
TATN,27/07/11,193.67
TATN,28/07/11,189.6
TATN,29/07/11,191.5
TATN,30/07/11,184.2
TATN,02/08/11,185.5
TATN,03/08/11,180.5
TATN,04/08/11,171.93
TATN,05/08/11,169.94
TATN,06/08/11,169.78
TATN,09/08/11,160.22
TATN,10/08/11,157.05
TATN,11/08/11,150.92
TATN,12/08/11,155.0
TATN,13/08/11,156.7
TATN,16/08/11,163.55
TATN,17/08/11,159.0
TATN,18/08/11,164.2
TATN,19/08/11,155.42
TATN,20/08/11,154.0
TATN,23/08/11,153.35
TATN,24/08/11,154.51
TATN,25/08/11,154.63
TATN,26/08/11,149.68
TATN,27/08/11,146.92
TATN,30/08/11,152.36
TATN,31/08/11,152.49
TATN,01/09/11,157.5
TATN,02/09/11,161.06
TATN,03/09/11,157.99
TATN,06/09/11,155.18
TATN,07/09/11,156.0
TATN,08/09/11,162.7
TATN,09/09/11,161.5
TATN,10/09/11,157.43
TATN,13/09/11,150.8
TATN,14/09/11,150.54
TATN,15/09/11,152.7
TATN,16/09/11,156.86
TATN,17/09/11,157.31
TATN,20/09/11,150.5
TATN,21/09/11,154.65
TATN,22/09/11,152.04
TATN,23/09/11,139.3
TATN,24/09/11,127.0
TATN,27/09/11,129.95
